Model,MSE (×10^-3),RMSE (×10^-2),MAE (×10^-2),MAPE,Parameters
"KAN widths=(8, 8) grid=2 n_basis=6",128.5812560672639,35.85822863266727,21.39014503918588,0.5508002948015929,5750
"KAN widths=(8, 8) grid=2 n_basis=8",97.8516566471626,31.281249439106908,15.497016699519008,0.3253826609347016,6182
"KAN widths=(8, 8) grid=2 n_basis=10",99.66535749081231,31.569820634715732,15.640964210033417,0.36518256422132256,6614
"KAN widths=(8, 8) grid=6 n_basis=6",108.5542840151902,32.947577151467485,17.6927295839414,0.3683266320731491,7530
"KAN widths=(8, 8) grid=6 n_basis=8",100.51335604339329,31.7038414144711,15.397640363080429,0.3382312916452065,8090
"KAN widths=(8, 8) grid=6 n_basis=10",89.7562088277482,29.95934058482399,13.086593059124423,0.27465861917007717,8650
"KAN widths=(8, 8) grid=8 n_basis=6",121.85597011321079,34.90787448602547,18.34875737549737,0.40689461268484595,8420
"KAN widths=(8, 8) grid=8 n_basis=8",99.45661710680724,31.53674319057173,14.40194951952435,0.3110710456967354,9044
"KAN widths=(8, 8) grid=8 n_basis=10",101.12089116669267,31.799511185974648,13.708538381615654,0.3129158426076174,9668
"KAN widths=(16, 16) grid=2 n_basis=6",107.74311666755239,32.82424662769161,17.508361586369574,0.3860429105348885,14590
"KAN widths=(16, 16) grid=2 n_basis=8",94.32873740915966,30.712983803134406,14.440164864063263,0.3076578419655561,15438
"KAN widths=(16, 16) grid=2 n_basis=10",89.89424775609223,29.982369445407787,13.609882229939101,0.29842897690832615,16286
"KAN widths=(16, 16) grid=6 n_basis=6",111.03548480380141,33.32198745630299,17.578680058941245,0.3730238830205053,19090
"KAN widths=(16, 16) grid=6 n_basis=8",92.95622616098171,30.488723515585512,13.644775550346822,0.2809738443349488,20194
"KAN widths=(16, 16) grid=6 n_basis=10",87.89779700387044,29.647562632343057,12.008774213609286,0.2571719275438227,21298
"KAN widths=(16, 16) grid=8 n_basis=6",106.48729723961878,32.6323914599618,16.956344156060368,0.3658703162334859,21340
"KAN widths=(16, 16) grid=8 n_basis=8",98.06197222762876,31.314848271647232,13.789112750673665,0.2968773212051019,22572
"KAN widths=(16, 16) grid=8 n_basis=10",80.8598811336708,28.435871910963233,11.334013970918022,0.2277348379488103,23804
"KAN widths=(32, 32) grid=2 n_basis=6",108.67405315220822,32.965747853220044,17.64222286408767,0.3865561059676111,42254
"KAN widths=(32, 32) grid=2 n_basis=8",91.53489900272689,30.254735001769046,13.731169274542482,0.282229797123,43934
"KAN widths=(32, 32) grid=2 n_basis=10",75.96930081163009,27.56252905878379,11.395616356749088,0.2441123842727393,45614
"KAN widths=(32, 32) grid=6 n_basis=6",104.68065659224521,32.35439021095054,16.567654062528163,0.35224826345220206,55266
"KAN widths=(32, 32) grid=6 n_basis=8",94.38188845654167,30.721635447440242,13.362186982994901,0.2649813638534397,57458
"KAN widths=(32, 32) grid=6 n_basis=10",74.67394684528017,27.326534146371394,10.617949505976867,0.21470225929515435,59650
"KAN widths=(32, 32) grid=8 n_basis=6",104.92152835038269,32.39159279047307,16.450034263543785,0.3520340888993815,61772
"KAN widths=(32, 32) grid=8 n_basis=8",91.9686815148907,30.32633863737769,13.480394572252408,0.2687825637869537,64220
"KAN widths=(32, 32) grid=8 n_basis=10",76.24526684709281,27.612545490608575,11.147485293913633,0.22796070624608547,66668
